Feedback
Wish if there was a standing spot like the one in Technopark
Goood place
The best
Nearshore zone ...
You to the power of IBM
Work work work work
Ibm
Professional
Very good place to work Très bon établissement pour travailler 
very good for me tres bon pour moi 
